Coluna1
"214;Teclado e Mouse Gamer 2400DPI com Fio LED – TC239 Multilaser;34.99;13,0863"
"217;Headset Gamer Warrior Kaden USB 2.0 Stereo LED RGB – PH301 Multilaser;34.99;13,0863"
"222;Headset P2 Preto/Verde – PH123 Gamer Multilaser;34.99;13,0863"
"225;Mouse Profissional Warrio Preto – Multilaser MO207;8.99;6,9223"
"228;MOUSE OPTICO XGAMER MULTILASER FIRE BUTTON USB 2400 DPI;49.99;38,4923"
"231;Roteador Wireless Archer C80 TP-link;49.99;38,4923"
"234;Roteador Gigabit AC1200 High Power - Multilaser - RE017;49.99;38,4923"
"237;Cadeira Gamer EagleX S1 Verde - Preto;49.99;38,4923"
"321;Cadeira Gamer Pro Eaglex Giratória Reclinável Ajuste de Altura - Preta;2999.99;1020,6543"
"323;Nobreak Interactive Intelbras XNB 1800VA Mono;399.99;210,9876"
"325;Memória Multilaser DDR4 SODIMM 4GB 2400 MHZ - Multilaser;119.9;73,5675"
"327;Memória Multilaser DDR3 SODIMM 4GB 1600 MHZ - Multilaser;110.5;45,8"
"329;Pen Drive Twist 128GB USB Preto Multilaser - PD591;180;100"
"331;Mouse sem Fio Prata M170 1 UN Logitech;59.9;34,87"
"333;Teclado USB 100 Preto 1 UN HP;104.4;70,875"
"335;Headset com Base Discadora Preto HSB-50 1 UN Intelbras;131.67;89,654"
"337;Monitor Ultra HD 4K 27” LG IPS com HDR400 e 1000:01:00 de Contraste - 27UL650;1782.99;897,6543"
"339;Monitor 31,5” LG 4K com 3000:01:00 de Contraste, Entrada USB-C, Display HDR 600;2699.9;1779,876"
"341;HD Seagate Externo Expansion 6TB, USB 3.0 - STEB6000403;974.9;587,987"
"343;Computador Skill Join AMD 6-Core 3.8Ghz 6GB (Placa de video Radeon R5) SSD 480GB…;1469.99;698,76"
