Coluna1
"relatorio;;2022-01-08"
";;2022-01-09"
";;2022-01-10"
";;2022-01-11"
";;2022-01-12"
";;2022-01-13"
";;2022-01-14"
"333;2;2022-01-08"
"339;2;2022-01-08"
"333;2;2022-01-10"
"337;2;2022-01-10"
"337;2;2022-01-12"
"323;2;2022-01-13"
"323;2;2022-01-15"
"325;2;2022-01-15"
"337;2;2022-01-16"
"321;2;2022-01-17"
"333;2;2022-01-18"
"335;2;2022-01-22"
"343;2;2022-01-22"
"325;2;2022-01-23"
"325;2;2022-01-24"
"333;2;2022-01-24"
"329;2;2022-01-27"
"331;2;2022-01-27"
"343;2;2022-01-27"
"341;2;2022-01-29"
"323;2;2022-01-30"
"329;2;2022-01-30"
"341;2;2022-01-30"
"341;2;2022-01-31"
"325;2;2022-02-01"
"343;2;2022-02-03"
"343;2;2022-02-05"
"339;2;2022-02-06"
"343;2;2022-02-06"
"321;2;2022-02-08"
"335;2;2022-02-08"
"335;2;2022-02-11"
"329;2;2022-02-12"
"323;2;2022-02-13"
"333;2;2022-02-14"
"337;2;2022-02-14"
"339;2;2022-02-17"
"343;2;2022-02-18"
"333;2;2022-02-19"
"339;2;2022-02-21"
"343;2;2022-02-21"
"329;1;2022-02-22"
"323;1;2022-02-23"
"337;1;2022-02-23"
"327;1;2022-02-24"
"333;1;2022-02-24"
"333;1;2022-02-24"
"335;1;2022-02-24"
"343;1;2022-02-25"
"333;1;2022-02-27"
"339;1;2022-02-27"
"321;1;2022-02-28"
"331;1;2022-02-28"
"321;1;          29/02/2022"
"329;1;2022-03-01"
"341;1;2022-03-01"
"325;1;2022-03-03"
"331;1;2022-03-03"
"335;1;2022-03-06"
"325;1;2022-03-07"
"333;1;2022-03-08"
"337;1;2022-03-09"
"343;1;2022-03-09"
"329;1;2022-03-11"
"329;1;2022-03-11"
"339;1;2022-03-11"
"329;1;2022-03-12"
"341;1;2022-03-12"
"331;1;2022-03-13"
"333;1;2022-03-13"
"337;1;2022-03-13"
"343;1;2022-03-13"
"321;1;2022-03-15"
"325;1;2022-03-15"
"333;1;2022-03-17"
"327;1;2022-03-18"
"329;1;2022-03-18"
"341;1;2022-03-18"
"325;1;2022-03-19"
"343;1;2022-03-19"
"323;1;2022-03-21"
"331;1;2022-03-22"
"335;1;2022-03-22"
"339;1;2022-03-22"
"331;1;2022-03-23"
"343;1;2022-03-23"
"321;1;2022-03-24"
"339;1;2022-03-24"
"331;1;2022-03-25"
"343;1;2022-03-25"
"329;1;2022-03-26"
"321;1;2022-03-27"
"325;1;2022-03-29"
"327;1;2022-03-29"
"333;1;2022-03-29"
"327;1;2022-03-30"
"333;1;2022-03-30"
"343;1;2022-03-30"
"325;1;2022-03-31"
"329;1;2022-03-31"
"337;1;2022-03-31"
"325;1;2022-04-03"
"343;1;2022-04-04"
"325;1;2022-04-05"
"333;1;2022-04-05"
"339;1;2022-04-05"
"329;1;2022-04-10"
"333;1;2022-04-10"
"339;1;2022-04-10"
"341;1;2022-04-10"
"341;1;2022-04-10"
"343;1;2022-04-10"
"325;1;2022-04-11"
"337;1;2022-04-11"
"321;1;2022-04-12"
"321;1;2022-04-14"
"323;1;2022-04-14"
"333;1;2022-04-14"
"335;1;2022-04-14"
"321;1;2022-04-15"
"323;1;2022-04-15"
"321;1;2022-04-16"
"323;1;2022-04-17"
"327;1;2022-04-17"
"323;1;2022-04-18"
"339;1;2022-04-18"
"333;1;2022-04-20"
"323;1;2022-04-21"
"339;1;2022-04-22"
"335;1;2022-04-23"
"331;1;2022-04-24"
"325;1;2022-04-26"
"321;1;2022-04-27"
"337;1;2022-04-27"
"323;1;2022-04-28"
"327;1;2022-04-29"
"329;1;2022-04-29"
"329;1;2022-04-30"
"333;1;2022-04-30"
"323;1;2022-05-02"
"321;1;2022-05-04"
"321;1;2022-05-04"
"335;1;2022-05-04"
"325;1;2022-05-05"
"327;1;2022-05-05"
"343;1;2022-05-06"
"331;1;2022-05-08"
"327;1;2022-05-09"
"329;1;2022-05-10"
"333;1;2022-05-10"
"329;1;2022-05-11"
"337;1;2022-05-14"
"323;1;2022-05-16"
"325;1;2022-05-16"
"335;1;2022-05-16"
"323;1;2022-05-17"
"327;1;2022-05-17"
"331;1;2022-05-17"
"321;1;2022-05-19"
"335;1;2022-05-19"
"325;1;2022-05-20"
"325;1;2022-05-20"
"337;1;2022-05-21"
"327;1;2022-05-22"
"321;1;2022-05-23"
"331;1;2022-05-23"
"339;1;2022-05-23"
"323;1;2022-05-24"
"329;1;2022-05-25"
"337;1;2022-05-25"
"321;1;2022-05-26"
"321;1;2022-05-26"
"323;1;2022-05-26"
"325;1;2022-05-26"
"327;1;2022-05-26"
"329;1;2022-05-26"
"329;1;2022-05-26"
"329;1;2022-05-26"
"325;1;2022-05-27"
"327;1;2022-05-27"
"325;1;2022-05-28"
"323;1;2022-05-29"
"323;1;2022-05-29"
"327;1;2022-05-30"
"327;1;2022-05-30"
"321;1;2022-05-31"
"339;1;2022-05-31"
"343;1;2022-05-31"
"341;1;2022-06-01"
"325;1;2022-06-02"
"327;1;2022-06-03"
"337;1;2022-06-03"
"339;1;2022-06-03"
"343;1;2022-06-03"
"329;1;2022-06-05"
"329;1;2022-06-05"
"333;1;2022-06-05"
"333;1;2022-06-05"
"337;1;2022-06-05"
"335;1;2022-06-06"
"331;1;2022-06-07"
"335;1;2022-06-07"
"343;1;2022-06-07"
"335;1;2022-06-08"
"321;4;2022-06-09"
"339;4;2022-06-09"
"341;4;2022-06-09"
"329;4;2022-06-10"
"339;4;2022-06-11"
"325;4;2022-06-12"
"327;4;2022-06-12"
"327;4;2022-06-12"
"331;4;2022-06-12"
"341;4;2022-06-12"
"341;4;2022-06-13"
"321;4;2022-06-14"
"325;4;2022-06-14"
"327;4;2022-06-14"
"329;4;2022-06-14"
"335;4;2022-06-14"
"323;4;2022-06-15"
"339;4;2022-06-15"
"343;4;2022-06-15"
"333;4;2022-06-18"
"335;4;2022-06-18"
"337;4;2022-06-18"
"325;4;2022-06-20"
"335;4;2022-06-20"
"337;4;2022-06-20"
"339;4;2022-06-20"
"339;4;2022-06-21"
"343;4;2022-06-21"
"333;4;2022-06-22"
"335;4;2022-06-22"
"337;4;2022-06-22"
"329;4;2022-06-23"
"335;4;2022-06-23"
"341;4;2022-06-24"
"339;4;2022-06-25"
"327;4;2022-06-27"
"327;4;2022-06-27"
"335;4;2022-06-27"
"339;4;2022-06-27"
"325;4;2022-06-29"
